stream_id,checkpoint,processed,exact,estimate
13,2,1200001,454515,430527
13,3,1600001,479792,453619
13,4,2000001,490843,463309
13,5,2400001,495936,467772
13,6,2800001,498226,469747
13,7,3200001,499202,470780
13,8,3600001,499645,471255
13,9,4000001,499827,471469
13,10,4400001,499915,471542
13,11,4800001,499958,471612
13,12,5200001,499979,471642
13,13,5600001,499990,471654
13,14,6000001,499996,471670
13,15,6400001,499998,471679
13,16,6800001,499999,471679
13,17,7200001,500000,471679
13,18,7600001,500000,471679
13,19,8000001,500000,471679
13,20,8400001,500000,471679
13,21,8800001,500000,471679
13,22,9200001,500000,471679
13,23,9600001,500000,471679
13,24,10000000,500000,471679
14,0,400001,275409,259559
14,1,800001,398886,378887
14,2,1200001,454594,429141
14,3,1600001,479640,452092
14,4,2000001,490893,462058
14,5,2400001,495886,466637
14,6,2800001,498189,468560
14,7,3200001,499219,469473
14,8,3600001,499646,469859
14,9,4000001,499839,470047
14,10,4400001,499927,470107
14,11,4800001,499954,470114
14,12,5200001,499986,470132
14,13,5600001,499993,470136
14,14,6000001,499998,470140
14,15,6400001,499999,470140
14,16,6800001,499999,470140
14,17,7200001,500000,470140
14,18,7600001,500000,470140
14,19,8000001,500000,470140
14,20,8400001,500000,470140
14,21,8800001,500000,470140
14,22,9200001,500000,470140
14,23,9600001,500000,470140
14,24,10000000,500000,470140
15,0,400001,275117,260263
15,1,800001,399086,380838
15,2,1200001,454590,430468
15,3,1600001,479673,453044
15,4,2000001,490855,463159
15,5,2400001,495836,467901
15,6,2800001,498145,469879
15,7,3200001,499170,470829
15,8,3600001,499624,471220
15,9,4000001,499826,471420
15,10,4400001,499917,471528
15,11,4800001,499960,471550
15,12,5200001,499975,471554
15,13,5600001,499988,471554
15,14,6000001,499998,471560
15,15,6400001,499998,471560
15,16,6800001,499998,471560
15,17,7200001,500000,471560
15,18,7600001,500000,471560
15,19,8000001,500000,471560
15,20,8400001,500000,471560
15,21,8800001,500000,471560
15,22,9200001,500000,471560
15,23,9600001,500000,471560
15,24,10000000,500000,471560
16,0,400001,275393,259154
16,1,800001,399188,380454
16,2,1200001,454950,430212
16,3,1600001,479808,453064
16,4,2000001,490916,462930
16,5,2400001,495935,467357
16,6,2800001,498147,469255
16,7,3200001,499145,470116
16,8,3600001,499573,470447
16,9,4000001,499809,470709
16,10,4400001,499910,470804
16,11,4800001,499959,470828
16,12,5200001,499986,470840
16,13,5600001,499995,470840
16,14,6000001,499998,470840
16,15,6400001,499998,470840
16,16,6800001,499999,470840
16,17,7200001,499999,470840
16,18,7600001,500000,470840
16,19,8000001,500000,470840
16,20,8400001,500000,470840
16,21,8800001,500000,470840
16,22,9200001,500000,470840
16,23,9600001,500000,470840
16,24,10000000,500000,470840
17,0,400001,275411,261251
17,1,800001,399239,382371
17,2,1200001,454764,431277
17,3,1600001,479680,454631
17,4,2000001,490905,464654
17,5,2400001,495978,469097
17,6,2800001,498186,470998
17,7,3200001,499216,471957
17,8,3600001,499654,472319
17,9,4000001,499823,472471
17,10,4400001,499922,472552
17,11,4800001,499961,472568
17,12,5200001,499985,472586
17,13,5600001,499992,472586
17,14,6000001,499997,472587
17,15,6400001,499999,472587
17,16,6800001,500000,472591
17,17,7200001,500000,472591
17,18,7600001,500000,472591
17,19,8000001,500000,472591
17,20,8400001,500000,472591
17,21,8800001,500000,472591
17,22,9200001,500000,472591
17,23,9600001,500000,472591
17,24,10000000,500000,472591
18,0,400001,275403,258628
18,1,800001,399222,378866
18,2,1200001,454858,428873
18,3,1600001,479576,450624
18,4,2000001,490892,460741
18,5,2400001,495878,465108
18,6,2800001,498093,467150
18,7,3200001,499140,468025
18,8,3600001,499605,468511
18,9,4000001,499822,468701
18,10,4400001,499916,468811
18,11,4800001,499973,468870
18,12,5200001,499984,468878
18,13,5600001,499994,468878
18,14,6000001,499996,468880
18,15,6400001,499997,468896
18,16,6800001,500000,468897
18,17,7200001,500000,468897
18,18,7600001,500000,468897
18,19,8000001,500000,468897
18,20,8400001,500000,468897
18,21,8800001,500000,468897
18,22,9200001,500000,468897
18,23,9600001,500000,468897
18,24,10000000,500000,468897
19,0,400001,275215,260045
19,1,800001,399193,380752
19,2,1200001,454598,430396
19,3,1600001,479531,452758
19,4,2000001,490936,463237
19,5,2400001,495936,467995
19,6,2800001,498196,470265
19,7,3200001,499227,471274
19,8,3600001,499664,471789
19,9,4000001,499833,472022
19,10,4400001,499926,472082
19,11,4800001,499971,472112
19,12,5200001,499986,472112
19,13,5600001,499996,472128
19,14,6000001,499997,472128
19,15,6400001,499998,472128
19,16,6800001,499998,472128
19,17,7200001,500000,472128
19,18,7600001,500000,472128
19,19,8000001,500000,472128
19,20,8400001,500000,472128
19,21,8800001,500000,472128
19,22,9200001,500000,472128
19,23,9600001,500000,472128
19,24,10000000,500000,472128
20,0,400001,275410,259277
20,1,800001,398989,379756
20,2,1200001,454687,429701
20,3,1600001,479629,452653
20,4,2000001,490850,462890
20,5,2400001,495871,467591
20,6,2800001,498160,469829
20,7,3200001,499143,470808
20,8,3600001,499588,471146
20,9,4000001,499823,471386
20,10,4400001,499912,471480
20,11,4800001,499963,471533
20,12,5200001,499989,471544
20,13,5600001,499993,471573
20,14,6000001,499997,471573
20,15,6400001,499999,471573
20,16,6800001,500000,471573
20,17,7200001,500000,471573
20,18,7600001,500000,471573
20,19,8000001,500000,471573
20,20,8400001,500000,471573
20,21,8800001,500000,471573
20,22,9200001,500000,471573
20,23,9600001,500000,471573
20,24,10000000,500000,471573
21,0,400001,275413,261206
21,1,800001,399052,381746
21,2,1200001,454619,431780
21,3,1600001,479672,454636
21,4,2000001,490825,464558
21,5,2400001,495922,469222
21,6,2800001,498098,471061
21,7,3200001,499128,472024
21,8,3600001,499625,472419
21,9,4000001,499836,472625
21,10,4400001,499928,472702
21,11,4800001,499970,472738
21,12,5200001,499991,472746
21,13,5600001,499997,472761
21,14,6000001,499999,472761
21,15,6400001,499999,472761
21,16,6800001,499999,472761
21,17,7200001,499999,472761
21,18,7600001,500000,472761
21,19,8000001,500000,472761
21,20,8400001,500000,472761
21,21,8800001,500000,472761
21,22,9200001,500000,472761
21,23,9600001,500000,472761
21,24,10000000,500000,472761
22,0,400001,275400,260227
22,1,800001,399084,380537
22,2,1200001,454626,429445
22,3,1600001,479601,451659
22,4,2000001,490800,462036
22,5,2400001,495899,466940
22,6,2800001,498181,469111
22,7,3200001,499209,469883
22,8,3600001,499689,470337
22,9,4000001,499860,470495
22,10,4400001,499937,470540
22,11,4800001,499975,470571
22,12,5200001,499992,470573
22,13,5600001,499998,470573
22,14,6000001,499999,470589
22,15,6400001,500000,470589
22,16,6800001,500000,470589
22,17,7200001,500000,470589
22,18,7600001,500000,470589
22,19,8000001,500000,470589
22,20,8400001,500000,470589
22,21,8800001,500000,470589
22,22,9200001,500000,470589
22,23,9600001,500000,470589
22,24,10000000,500000,470589
23,0,400001,275202,260555
23,1,800001,399002,380865
23,2,1200001,454727,430897
23,3,1600001,479639,453276
23,4,2000001,490863,463058
23,5,2400001,495933,467218
23,6,2800001,498143,469398
23,7,3200001,499174,470257
23,8,3600001,499612,470721
23,9,4000001,499842,470924
23,10,4400001,499943,471020
23,11,4800001,499976,471063
23,12,5200001,499984,471077
23,13,5600001,499992,471099
23,14,6000001,499995,471099
